text,label
Thereâ€™s no turning back now. Your files and videos have been downloaded. Everyone will know your secrets. Do not reply. Just pay $1100.,sextortion
Your subscription will renew automatically next month.,not_sextortion
Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
"Weâ€™ve been w a t c h i n g y o u f o r a while. W e have y o u r f u l l c o n t a c t l i s t . I f y o u d o n â€™ t p a y , weâ€™ll r e l e a s e the v i d e o . Y o u â€™ l l f i n d o u r wallet a d d r e s s b e l o w . T r a n s f e r $ 1 3 0 0 .",sextortion
Thereâ€™s n o t u r n i n g b a c k n o w . We h a c k e d all y o u r d e v i c e s . The f o o t a g e goes live in 2 4 hours. F o l l o w t h e s e i n s t r u c t i o n s and s e n d $ 1 0 0 0 i n Bitcoin.,sextortion
This is your final warning. We took over your camera while you were online. We will make you a public example. $1400 in BTC is the only way out. ðŸ˜³,sextortion
W e â€™ v e been w a t c h i n g you f o r a w h i l e . Y o u r screen was b e i n g m o n i t o r e d . T h e f o o t a g e goes live i n 24 h o u r s . Pay $ 9 0 0 o r f a c e t h e c o n s e q u e n c e s .,sextortion
Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
L i s t e n c a r e f u l l y . W e i n t e r c e p t e d your private m e s s a g e s . The f o o t a g e g o e s l i v e i n 2 4 hours. D o not r e p l y . J u s t p a y $ 1 1 0 0 .,sextortion
You made a huge mistake. We accessed your social media accounts. This is your only chance to stop it. Pay $900 or face the consequences. ðŸ˜ˆ,sextortion
T h e r e â€™ s n o t u r n i n g b a c k n o w . W e h a c k e d a l l your devices. T h i s d a t a w i l l b e s o l d o n the dark web. P a y $ 9 0 0 or f a c e the c o n s e q u e n c e s .,sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
Congratulations! You've been selected for a free vacation to the Bahamas.,not_sextortion
We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
Urgent: Pay your toll online to avoid extra fees.,not_sextortion
Weâ€™ve been watching you for a while. We recorded you through your camera. Everyone will know your secrets. Follow these instructions and send $1000 in Bitcoin. ðŸ˜³,sextortion
"Weâ€™ve been watching you for a while. We have all your private moments saved. If you donâ€™t pay, weâ€™ll release the video. Use this wallet address to send $850 now. ðŸ“¸",sextortion
"Don't ignore this message. We hacked all your devices. If you donâ€™t pay, weâ€™ll release the video. $1400 in BTC is the only way out.",sextortion
Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
Verify your identity to restore full account access.,not_sextortion
Thereâ€™s no turning back now. Your screen was being monitored. We will make you a public example. Transfer $1000 in BTC now.,sextortion
Thereâ€™s no turning back now. We have your full contact list. The footage goes live in 24 hours. Follow these instructions and send $1000 in Bitcoin. ðŸ˜ˆ,sextortion
Reactivate your email account to keep receiving messages.,not_sextortion
Your Apple ID was used on a new device. Click to secure your account.,not_sextortion
Thereâ€™s n o t u r n i n g b a c k n o w . W e i n t e r c e p t e d y o u r private m e s s a g e s . Y o u r family a n d friends w i l l g e t everything. Y o u â€™ l l f i n d o u r wallet a d d r e s s below. T r a n s f e r $1300.,sextortion
Don't i g n o r e t h i s message. We have y o u r f u l l c o n t a c t l i s t . E v e r y o n e w i l l know y o u r secrets. S e n d $ 1 5 0 0 i m m e d i a t e l y if you want this t o g o away.,sextortion
L i s t e n c a r e f u l l y . We've cloned your p h o n e . This i s your o n l y c h a n c e t o s t o p i t . P a y $ 9 0 0 o r f a c e the c o n s e q u e n c e s .,sextortion
Your package is stuck in customs. Pay the fee to release it.,not_sextortion
Don't forget to submit your time sheet today.,not_sextortion
You made a huge mistake. We've cloned your phone. This will ruin your reputation. Pay $900 or face the consequences. ðŸ˜³,sextortion
Urgent: Pay your toll online to avoid extra fees.,not_sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
Weâ€™ve been watching you for a while. We recorded you through your camera. Everyone will know your secrets. Do not reply. Just pay $1100. ðŸ˜ˆ,sextortion
This is your final warning. We recorded you through your camera. Everyone will know your secrets. Follow these instructions and send $1000 in Bitcoin. ðŸ“¸,sextortion
Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
Get 50% off all items during our summer sale!,not_sextortion
Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
T h i s i s y o u r f i n a l w a r n i n g . W e i n t e r c e p t e d y o u r p r i v a t e messages. T h i s d a t a w i l l be s o l d on the d a r k w e b . Y o u â€™ l l f i n d our wallet address below. T r a n s f e r $ 1 3 0 0 .,sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
L i s t e n c a r e f u l l y . Y o u r f i l e s a n d v i d e o s h a v e b e e n downloaded. You will lose e v e r y t h i n g . U s e this w a l l e t a d d r e s s to s e n d $ 8 5 0 now.,sextortion
Reminder: Your dental appointment is scheduled for 3 PM tomorrow.,not_sextortion
Get 50% off all items during our summer sale!,not_sextortion
We caught everything. We have your full contact list. This data will be sold on the dark web. Transfer $1000 in BTC now. ðŸš¨,sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
Get 50% off all items during our summer sale!,not_sextortion
We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
T h e r e â€™ s no t u r n i n g b a c k now. We t o o k over y o u r camera w h i l e y o u w e r e online. E v e r y o n e w i l l k n o w y o u r s e c r e t s . Pay $ 9 0 0 o r f a c e t h e c o n s e q u e n c e s .,sextortion
"Y o u k n o w w h a t y o u d i d . W e hacked all your devices. I f you d o n â€™ t p a y , w e â€™ l l release t h e video. Do n o t r e p l y . J u s t pay $ 1 1 0 0 .",sextortion
Youâ€™ve won a $1000 gift card. Claim now: http://claimprize.ru,not_sextortion
FINAL NOTICE: Your email will be deactivated in 24 hours.,not_sextortion
Youâ€™ve won a $1000 gift card. Claim now: http://claimprize.ru,not_sextortion
We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
W e â€™ v e b e e n w a t c h i n g y o u f o r a while. W e have your f u l l c o n t a c t l i s t . T h i s is y o u r only c h a n c e to stop i t . You have 2 4 h o u r s t o p a y $1200 i n c r y p t o .,sextortion
Your Apple ID was used on a new device. Click to secure your account.,not_sextortion
Your time i s u p . W e h a v e a l l y o u r p r i v a t e m o m e n t s saved. T h i s w i l l r u i n your r e p u t a t i o n . S e n d $1500 i m m e d i a t e l y i f y o u w a n t this to g o a w a y .,sextortion
Letâ€™s grab lunch next week and catch up.,not_sextortion
Can we reschedule our meeting to Friday morning?,not_sextortion
Youâ€™ve won a $1000 gift card. Claim now: http://claimprize.ru,not_sextortion
Timeâ€™s running out. We accessed your social media accounts. This is your only chance to stop it. $1400 in BTC is the only way out.,sextortion
Thereâ€™s no turning back now. We hacked all your devices. You will lose everything. Do not reply. Just pay $1100.,sextortion
We caught everything. We intercepted your private messages. Donâ€™t test us. Follow these instructions and send $1000 in Bitcoin.,sextortion
Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
You made a huge mistake. We took over your camera while you were online. This data will be sold on the dark web. Follow these instructions and send $1000 in Bitcoin.,sextortion
Letâ€™s grab lunch next week and catch up.,not_sextortion
Letâ€™s grab lunch next week and catch up.,not_sextortion
Weâ€™ve been watching you for a while. We have all your private moments saved. The footage goes live in 24 hours. Pay $900 or face the consequences. ðŸ˜ˆ,sextortion
Receive a $100 Walmart gift card instantly by completing a survey.,not_sextortion
Listen carefully. W e i n t e r c e p t e d your p r i v a t e messages. This w i l l r u i n y o u r reputation. Use t h i s w a l l e t a d d r e s s t o s e n d $ 8 5 0 n o w .,sextortion
Receive a $100 Walmart gift card instantly by completing a survey.,not_sextortion
Special offer just for youâ€”act fast before it expires.,not_sextortion
We caught everything. We have your full contact list. You will lose everything. Send $750 in Bitcoin to the address below.,sextortion
Reset your Netflix password to continue streaming.,not_sextortion
D o n ' t i g n o r e t h i s m e s s a g e . We a c c e s s e d y o u r social m e d i a a c c o u n t s . T h i s i s y o u r o n l y chance t o s t o p it. D o n o t r e p l y . Just p a y $ 1 1 0 0 .,sextortion
Weâ€™ve been watching you for a while. We recorded you through your camera. Donâ€™t test us. Send $1500 immediately if you want this to go away. ðŸ”’,sextortion
We caught everything. Your files and videos have been downloaded. Donâ€™t test us. You have 24 hours to pay $1200 in crypto. ðŸ“¸,sextortion
Can we reschedule our meeting to Friday morning?,not_sextortion
This is your final warning. We've cloned your phone. You will lose everything. Pay $900 or face the consequences. ðŸ˜³,sextortion
Can we reschedule our meeting to Friday morning?,not_sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
L i s t e n carefully. W e t o o k over y o u r c a m e r a w h i l e y o u w e r e online. E v e r y o n e w i l l know y o u r secrets. D o not reply. J u s t p a y $1100.,sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
T h e r e â€™ s n o turning b a c k n o w . Y o u r s c r e e n was b e i n g monitored. T h i s is your o n l y chance to s t o p it. $ 1 4 0 0 i n B T C i s t h e o n l y w a y o u t .,sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
T i m e â€™ s r u n n i n g o u t . Y o u r f i l e s a n d videos have been d o w n l o a d e d . T h i s w i l l r u i n y o u r r e p u t a t i o n . $1400 i n B T C is t h e o n l y way out.,sextortion
Download our app to track who's been viewing your profile.,not_sextortion
Meeting notes from todayâ€™s call are attached.,not_sextortion
Can we reschedule our meeting to Friday morning?,not_sextortion
Confirm your password to avoid account suspension: http://fakeurl.com,not_sextortion
Don't ignore this message. We have your full contact list. This will ruin your reputation. Pay $900 or face the consequences.,sextortion
"Weâ€™ve been watching you for a while. We've cloned your phone. If you donâ€™t pay, weâ€™ll release the video. Transfer $1000 in BTC now. ðŸ“¸",sextortion
L i s t e n c a r e f u l l y . We h a v e y o u r f u l l c o n t a c t list. E v e r y o n e w i l l know your secrets. S e n d $ 1 5 0 0 i m m e d i a t e l y if y o u w a n t t h i s t o g o away.,sextortion
T i m e â€™ s r u n n i n g o u t . Y o u r files and v i d e o s have b e e n d o w n l o a d e d . T h i s is y o u r only c h a n c e t o s t o p it. Pay $ 9 0 0 o r face the c o n s e q u e n c e s .,sextortion
Reactivate your email account to keep receiving messages.,not_sextortion
"You know what you did. We have all your private moments saved. If you donâ€™t pay, weâ€™ll release the video. Youâ€™ll find our wallet address below. Transfer $1300. ðŸ˜ˆ",sextortion
"You made a huge mistake. Your files and videos have been downloaded. If you donâ€™t pay, weâ€™ll release the video. Transfer $1000 in BTC now.",sextortion
Urgent: Pay your toll online to avoid extra fees.,not_sextortion
Don't forget to submit your time sheet today.,not_sextortion
Your time is up. We recorded you through your camera. You will lose everything. $1400 in BTC is the only way out. ðŸ˜ˆ,sextortion
Urgent: Pay your toll online to avoid extra fees.,not_sextortion
Your time is up. We have all your private moments saved. The footage goes live in 24 hours. Youâ€™ll find our wallet address below. Transfer $1300.,sextortion
Weâ€™ve been watching you for a while. We accessed your social media accounts. Everyone will know your secrets. Transfer $1000 in BTC now. ðŸ“¸,sextortion
T h e r e â€™ s no t u r n i n g b a c k now. W e have a l l y o u r private m o m e n t s s a v e d . T h i s i s y o u r o n l y c h a n c e to s t o p it. T r a n s f e r $ 1 0 0 0 i n BTC now.,sextortion
Your time i s u p . We h a v e y o u r f u l l c o n t a c t list. E v e r y o n e w i l l k n o w your secrets. Send $ 1 5 0 0 i m m e d i a t e l y i f y o u w a n t t h i s t o g o a w a y .,sextortion
Reactivate your email account to keep receiving messages.,not_sextortion
Y o u made a h u g e mistake. Y o u r s c r e e n w a s being m o n i t o r e d . This i s y o u r o n l y c h a n c e t o s t o p i t . T r a n s f e r $ 1 0 0 0 i n B T C n o w .,sextortion
Your time is up. We recorded you through your camera. Everyone will know your secrets. Use this wallet address to send $850 now. ðŸ’€,sextortion
You made a huge mistake. We have all your private moments saved. This is your only chance to stop it. Do not reply. Just pay $1100. ðŸ¤«,sextortion
You know what you did. Your screen was being monitored. Donâ€™t test us. Use this wallet address to send $850 now. ðŸ˜³,sextortion
Don't forget to submit your time sheet today.,not_sextortion
Your subscription will renew automatically next month.,not_sextortion
T h e r e â€™ s n o turning b a c k n o w . We t o o k over your camera while y o u w e r e o n l i n e . T h e footage goes l i v e i n 24 h o u r s . Send $ 1 5 0 0 i m m e d i a t e l y if y o u w a n t this t o g o a w a y .,sextortion
You have a pending lawsuit. Click to learn more.,not_sextortion
Listen c a r e f u l l y . We h a v e your full c o n t a c t list. T h i s is y o u r o n l y c h a n c e to s t o p i t . Send $ 1 5 0 0 i m m e d i a t e l y if you w a n t t h i s to g o a w a y .,sextortion
Thereâ€™s no turning back now. We hacked all your devices. We will make you a public example. Follow these instructions and send $1000 in Bitcoin. ðŸ¤«,sextortion
Y o u k n o w what y o u did. We've c l o n e d y o u r phone. Y o u r f a m i l y a n d f r i e n d s will get e v e r y t h i n g . Do n o t r e p l y . J u s t p a y $ 1 1 0 0 .,sextortion
Update your bank credentials to avoid account lockout.,not_sextortion
Reminder: Your dental appointment is scheduled for 3 PM tomorrow.,not_sextortion
Y o u made a h u g e mistake. W e have a l l y o u r private moments s a v e d . Everyone will k n o w your s e c r e t s . T r a n s f e r $ 1 0 0 0 i n BTC n o w .,sextortion
Reset your Netflix password to continue streaming.,not_sextortion
Thereâ€™s n o turning back n o w . Y o u r f i l e s and v i d e o s h a v e b e e n d o w n l o a d e d . Y o u r f a m i l y a n d f r i e n d s w i l l g e t e v e r y t h i n g . Y o u h a v e 2 4 h o u r s t o p a y $ 1 2 0 0 i n c r y p t o .,sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
T i m e â€™ s running o u t . Your files and v i d e o s h a v e b e e n downloaded. T h e f o o t a g e g o e s l i v e in 2 4 h o u r s . F o l l o w these i n s t r u c t i o n s a n d s e n d $ 1 0 0 0 in B i t c o i n .,sextortion
You know what you did. We have your full contact list. You will lose everything. $1400 in BTC is the only way out.,sextortion
We caught everything. We hacked all your devices. This is your only chance to stop it. Follow these instructions and send $1000 in Bitcoin.,sextortion
Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
Don't ignore this message. We took over your camera while you were online. Your family and friends will get everything. Send $1500 immediately if you want this to go away. ðŸ’€,sextortion
W e c a u g h t everything. W e hacked all your d e v i c e s . This data w i l l b e sold on the d a r k w e b . S e n d $1500 immediately i f y o u w a n t this to g o a w a y .,sextortion
"Y o u know what y o u d i d . Y o u r f i l e s and v i d e o s h a v e been d o w n l o a d e d . If you d o n â€™ t p a y , weâ€™ll r e l e a s e t h e v i d e o . Send $ 1 5 0 0 i m m e d i a t e l y i f you want t h i s to g o a w a y .",sextortion
W e caught e v e r y t h i n g . We h a c k e d all your d e v i c e s . W e w i l l m a k e you a p u b l i c e x a m p l e . $ 1 4 0 0 i n BTC i s the o n l y w a y o u t .,sextortion
You made a huge mistake. We hacked all your devices. This is your only chance to stop it. Youâ€™ll find our wallet address below. Transfer $1300.,sextortion
We caught everything. We have all your private moments saved. Donâ€™t test us. Send $1500 immediately if you want this to go away. ðŸ¤«,sextortion
Your time is up. We recorded you through your camera. This is your only chance to stop it. Transfer $1000 in BTC now. ðŸ˜³,sextortion
Your subscription will renew automatically next month.,not_sextortion
Urgent: Pay your toll online to avoid extra fees.,not_sextortion
You have a pending lawsuit. Click to learn more.,not_sextortion
Don't i g n o r e t h i s message. We h a v e y o u r full c o n t a c t l i s t . T h e f o o t a g e g o e s l i v e in 24 hours. D o not reply. J u s t pay $ 1 1 0 0 .,sextortion
FINAL NOTICE: Your email will be deactivated in 24 hours.,not_sextortion
Reactivate your email account to keep receiving messages.,not_sextortion
Special offer just for youâ€”act fast before it expires.,not_sextortion
Unusual activity detected! Click here to verify: http://security-check.com,not_sextortion
Letâ€™s grab lunch next week and catch up.,not_sextortion
We caught everything. We accessed your social media accounts. This is your only chance to stop it. You have 24 hours to pay $1200 in crypto.,sextortion
Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
Weâ€™ve been watching you for a while. We have your full contact list. This will ruin your reputation. Pay $900 or face the consequences.,sextortion
Your t i m e i s u p . W e r e c o r d e d y o u t h r o u g h y o u r camera. T h e f o o t a g e goes l i v e in 24 hours. D o n o t reply. J u s t pay $ 1 1 0 0 .,sextortion
Download our app to track who's been viewing your profile.,not_sextortion
We caught everything. We took over your camera while you were online. The footage goes live in 24 hours. Follow these instructions and send $1000 in Bitcoin. ðŸ¤«,sextortion
Unusual activity detected! Click here to verify: http://security-check.com,not_sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
Reactivate your email account to keep receiving messages.,not_sextortion
Timeâ€™s running out. We recorded you through your camera. We will make you a public example. You have 24 hours to pay $1200 in crypto.,sextortion
Your package is stuck in customs. Pay the fee to release it.,not_sextortion
Your time is up. We hacked all your devices. You will lose everything. Send $750 in Bitcoin to the address below. ðŸ”’,sextortion
Don't ignore this message. Your files and videos have been downloaded. Your family and friends will get everything. Follow these instructions and send $1000 in Bitcoin. ðŸš¨,sextortion
W e caught everything. W e h a c k e d all y o u r d e v i c e s . T h i s i s y o u r only c h a n c e t o stop i t . $ 1 4 0 0 in BTC i s t h e only way out.,sextortion
Listen carefully. We intercepted your private messages. This will ruin your reputation. Send $1500 immediately if you want this to go away.,sextortion
Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
Letâ€™s grab lunch next week and catch up.,not_sextortion
Don't forget to submit your time sheet today.,not_sextortion
Verify your identity to restore full account access.,not_sextortion
You know what you did. We have your full contact list. This data will be sold on the dark web. Transfer $1000 in BTC now. ðŸ˜³,sextortion
Happy birthday! Hope you have an amazing day.,not_sextortion
W e â€™ v e b e e n w a t c h i n g y o u f o r a w h i l e . We have y o u r f u l l c o n t a c t l i s t . W e w i l l m a k e y o u a public e x a m p l e . Follow t h e s e instructions and s e n d $1000 in B i t c o i n .,sextortion
New login detected from an unknown device. Was this you?,not_sextortion
Your time is up. We recorded you through your camera. This is your only chance to stop it. Follow these instructions and send $1000 in Bitcoin.,sextortion
Your time is up. We hacked all your devices. Donâ€™t test us. Use this wallet address to send $850 now.,sextortion
Get 50% off all items during our summer sale!,not_sextortion
Update billing information to avoid service disruption.,not_sextortion
"Your t i m e i s up. We have y o u r f u l l c o n t a c t l i s t . I f y o u d o n â€™ t pay, w e â€™ l l r e l e a s e t h e v i d e o . S e n d $750 i n B i t c o i n to t h e a d d r e s s below.",sextortion
You made a huge mistake. We intercepted your private messages. This data will be sold on the dark web. Transfer $1000 in BTC now.,sextortion
Get 50% off all items during our summer sale!,not_sextortion
W e caught e v e r y t h i n g . Y o u r s c r e e n w a s b e i n g m o n i t o r e d . Y o u w i l l l o s e e v e r y t h i n g . Y o u have 2 4 hours t o p a y $ 1 2 0 0 i n c r y p t o .,sextortion
Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
New login detected from an unknown device. Was this you?,not_sextortion
You know what you did. We hacked all your devices. Your family and friends will get everything. Follow these instructions and send $1000 in Bitcoin.,sextortion
Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
Your time is up. We have your full contact list. This is your only chance to stop it. Transfer $1000 in BTC now. ðŸš¨,sextortion
Verify your identity to restore full account access.,not_sextortion
