id,text,label
40,Thereâ€™s no turning back now. Your files and videos have been downloaded. Everyone will know your secrets. Do not reply. Just pay $1100.,sextortion
283,Your subscription will renew automatically next month.,not_sextortion
212,Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
68,"Weâ€™ve been w a t c h i n g y o u f o r a while. W e have y o u r f u l l c o n t a c t l i s t . I f y o u d o n â€™ t p a y , weâ€™ll r e l e a s e the v i d e o . Y o u â€™ l l f i n d o u r wallet a d d r e s s b e l o w . T r a n s f e r $ 1 3 0 0 .",sextortion
39,Thereâ€™s n o t u r n i n g b a c k n o w . We h a c k e d all y o u r d e v i c e s . The f o o t a g e goes live in 2 4 hours. F o l l o w t h e s e i n s t r u c t i o n s and s e n d $ 1 0 0 0 i n Bitcoin.,sextortion
180,This is your final warning. We took over your camera while you were online. We will make you a public example. $1400 in BTC is the only way out. ðŸ˜³,sextortion
71,W e â€™ v e been w a t c h i n g you f o r a w h i l e . Y o u r screen was b e i n g m o n i t o r e d . T h e f o o t a g e goes live i n 24 h o u r s . Pay $ 9 0 0 o r f a c e t h e c o n s e q u e n c e s .,sextortion
298,Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
338,Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
200,L i s t e n c a r e f u l l y . W e i n t e r c e p t e d your private m e s s a g e s . The f o o t a g e g o e s l i v e i n 2 4 hours. D o not r e p l y . J u s t p a y $ 1 1 0 0 .,sextortion
140,You made a huge mistake. We accessed your social media accounts. This is your only chance to stop it. Pay $900 or face the consequences. ðŸ˜ˆ,sextortion
50,T h e r e â€™ s n o t u r n i n g b a c k n o w . W e h a c k e d a l l your devices. T h i s d a t a w i l l b e s o l d o n the dark web. P a y $ 9 0 0 or f a c e the c o n s e q u e n c e s .,sextortion
365,Update your bank credentials to avoid account lockout.,not_sextortion
366,Congratulations! You've been selected for a free vacation to the Bahamas.,not_sextortion
299,We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
252,Urgent: Pay your toll online to avoid extra fees.,not_sextortion
86,Weâ€™ve been watching you for a while. We recorded you through your camera. Everyone will know your secrets. Follow these instructions and send $1000 in Bitcoin. ðŸ˜³,sextortion
81,"Weâ€™ve been watching you for a while. We have all your private moments saved. If you donâ€™t pay, weâ€™ll release the video. Use this wallet address to send $850 now. ðŸ“¸",sextortion
95,"Don't ignore this message. We hacked all your devices. If you donâ€™t pay, weâ€™ll release the video. $1400 in BTC is the only way out.",sextortion
206,Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
360,Verify your identity to restore full account access.,not_sextortion
134,Thereâ€™s no turning back now. Your screen was being monitored. We will make you a public example. Transfer $1000 in BTC now.,sextortion
17,Thereâ€™s no turning back now. We have your full contact list. The footage goes live in 24 hours. Follow these instructions and send $1000 in Bitcoin. ðŸ˜ˆ,sextortion
255,Reactivate your email account to keep receiving messages.,not_sextortion
201,Your Apple ID was used on a new device. Click to secure your account.,not_sextortion
22,Thereâ€™s n o t u r n i n g b a c k n o w . W e i n t e r c e p t e d y o u r private m e s s a g e s . Y o u r family a n d friends w i l l g e t everything. Y o u â€™ l l f i n d o u r wallet a d d r e s s below. T r a n s f e r $1300.,sextortion
52,Don't i g n o r e t h i s message. We have y o u r f u l l c o n t a c t l i s t . E v e r y o n e w i l l know y o u r secrets. S e n d $ 1 5 0 0 i m m e d i a t e l y if you want this t o g o away.,sextortion
88,L i s t e n c a r e f u l l y . We've cloned your p h o n e . This i s your o n l y c h a n c e t o s t o p i t . P a y $ 9 0 0 o r f a c e the c o n s e q u e n c e s .,sextortion
272,Your package is stuck in customs. Pay the fee to release it.,not_sextortion
232,Don't forget to submit your time sheet today.,not_sextortion
153,You made a huge mistake. We've cloned your phone. This will ruin your reputation. Pay $900 or face the consequences. ðŸ˜³,sextortion
357,Urgent: Pay your toll online to avoid extra fees.,not_sextortion
318,Happy birthday! Hope you have an amazing day.,not_sextortion
38,Weâ€™ve been watching you for a while. We recorded you through your camera. Everyone will know your secrets. Do not reply. Just pay $1100. ðŸ˜ˆ,sextortion
124,This is your final warning. We recorded you through your camera. Everyone will know your secrets. Follow these instructions and send $1000 in Bitcoin. ðŸ“¸,sextortion
382,Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
268,Get 50% off all items during our summer sale!,not_sextortion
363,Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
18,T h i s i s y o u r f i n a l w a r n i n g . W e i n t e r c e p t e d y o u r p r i v a t e messages. T h i s d a t a w i l l be s o l d on the d a r k w e b . Y o u â€™ l l f i n d our wallet address below. T r a n s f e r $ 1 3 0 0 .,sextortion
291,Update your bank credentials to avoid account lockout.,not_sextortion
119,L i s t e n c a r e f u l l y . Y o u r f i l e s a n d v i d e o s h a v e b e e n downloaded. You will lose e v e r y t h i n g . U s e this w a l l e t a d d r e s s to s e n d $ 8 5 0 now.,sextortion
398,Reminder: Your dental appointment is scheduled for 3 PM tomorrow.,not_sextortion
261,Get 50% off all items during our summer sale!,not_sextortion
54,We caught everything. We have your full contact list. This data will be sold on the dark web. Transfer $1000 in BTC now. ðŸš¨,sextortion
214,Update your bank credentials to avoid account lockout.,not_sextortion
205,Get 50% off all items during our summer sale!,not_sextortion
239,We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
167,T h e r e â€™ s no t u r n i n g b a c k now. We t o o k over y o u r camera w h i l e y o u w e r e online. E v e r y o n e w i l l k n o w y o u r s e c r e t s . Pay $ 9 0 0 o r f a c e t h e c o n s e q u e n c e s .,sextortion
75,"Y o u k n o w w h a t y o u d i d . W e hacked all your devices. I f you d o n â€™ t p a y , w e â€™ l l release t h e video. Do n o t r e p l y . J u s t pay $ 1 1 0 0 .",sextortion
241,Youâ€™ve won a $1000 gift card. Claim now: http://claimprize.ru,not_sextortion
329,FINAL NOTICE: Your email will be deactivated in 24 hours.,not_sextortion
387,Youâ€™ve won a $1000 gift card. Claim now: http://claimprize.ru,not_sextortion
350,We're hiring remote workers! Apply now and earn $500/day.,not_sextortion
63,W e â€™ v e b e e n w a t c h i n g y o u f o r a while. W e have your f u l l c o n t a c t l i s t . T h i s is y o u r only c h a n c e to stop i t . You have 2 4 h o u r s t o p a y $1200 i n c r y p t o .,sextortion
221,Your Apple ID was used on a new device. Click to secure your account.,not_sextortion
61,Your time i s u p . W e h a v e a l l y o u r p r i v a t e m o m e n t s saved. T h i s w i l l r u i n your r e p u t a t i o n . S e n d $1500 i m m e d i a t e l y i f y o u w a n t this to g o a w a y .,sextortion
265,Letâ€™s grab lunch next week and catch up.,not_sextortion
314,Can we reschedule our meeting to Friday morning?,not_sextortion
225,Youâ€™ve won a $1000 gift card. Claim now: http://claimprize.ru,not_sextortion
193,Timeâ€™s running out. We accessed your social media accounts. This is your only chance to stop it. $1400 in BTC is the only way out.,sextortion
157,Thereâ€™s no turning back now. We hacked all your devices. You will lose everything. Do not reply. Just pay $1100.,sextortion
168,We caught everything. We intercepted your private messages. Donâ€™t test us. Follow these instructions and send $1000 in Bitcoin.,sextortion
285,Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
303,Happy birthday! Hope you have an amazing day.,not_sextortion
45,You made a huge mistake. We took over your camera while you were online. This data will be sold on the dark web. Follow these instructions and send $1000 in Bitcoin.,sextortion
302,Letâ€™s grab lunch next week and catch up.,not_sextortion
322,Letâ€™s grab lunch next week and catch up.,not_sextortion
177,Weâ€™ve been watching you for a while. We have all your private moments saved. The footage goes live in 24 hours. Pay $900 or face the consequences. ðŸ˜ˆ,sextortion
370,Receive a $100 Walmart gift card instantly by completing a survey.,not_sextortion
53,Listen carefully. W e i n t e r c e p t e d your p r i v a t e messages. This w i l l r u i n y o u r reputation. Use t h i s w a l l e t a d d r e s s t o s e n d $ 8 5 0 n o w .,sextortion
386,Receive a $100 Walmart gift card instantly by completing a survey.,not_sextortion
293,Special offer just for youâ€”act fast before it expires.,not_sextortion
169,We caught everything. We have your full contact list. You will lose everything. Send $750 in Bitcoin to the address below.,sextortion
251,Reset your Netflix password to continue streaming.,not_sextortion
11,D o n ' t i g n o r e t h i s m e s s a g e . We a c c e s s e d y o u r social m e d i a a c c o u n t s . T h i s i s y o u r o n l y chance t o s t o p it. D o n o t r e p l y . Just p a y $ 1 1 0 0 .,sextortion
196,Weâ€™ve been watching you for a while. We recorded you through your camera. Donâ€™t test us. Send $1500 immediately if you want this to go away. ðŸ”’,sextortion
148,We caught everything. Your files and videos have been downloaded. Donâ€™t test us. You have 24 hours to pay $1200 in crypto. ðŸ“¸,sextortion
389,Can we reschedule our meeting to Friday morning?,not_sextortion
146,This is your final warning. We've cloned your phone. You will lose everything. Pay $900 or face the consequences. ðŸ˜³,sextortion
317,Can we reschedule our meeting to Friday morning?,not_sextortion
388,Update your bank credentials to avoid account lockout.,not_sextortion
171,L i s t e n carefully. W e t o o k over y o u r c a m e r a w h i l e y o u w e r e online. E v e r y o n e w i l l know y o u r secrets. D o not reply. J u s t p a y $1100.,sextortion
280,Happy birthday! Hope you have an amazing day.,not_sextortion
150,T h e r e â€™ s n o turning b a c k n o w . Y o u r s c r e e n was b e i n g monitored. T h i s is your o n l y chance to s t o p it. $ 1 4 0 0 i n B T C i s t h e o n l y w a y o u t .,sextortion
220,Happy birthday! Hope you have an amazing day.,not_sextortion
72,T i m e â€™ s r u n n i n g o u t . Y o u r f i l e s a n d videos have been d o w n l o a d e d . T h i s w i l l r u i n y o u r r e p u t a t i o n . $1400 i n B T C is t h e o n l y way out.,sextortion
222,Download our app to track who's been viewing your profile.,not_sextortion
396,Meeting notes from todayâ€™s call are attached.,not_sextortion
242,Can we reschedule our meeting to Friday morning?,not_sextortion
237,Confirm your password to avoid account suspension: http://fakeurl.com,not_sextortion
80,Don't ignore this message. We have your full contact list. This will ruin your reputation. Pay $900 or face the consequences.,sextortion
107,"Weâ€™ve been watching you for a while. We've cloned your phone. If you donâ€™t pay, weâ€™ll release the video. Transfer $1000 in BTC now. ðŸ“¸",sextortion
49,L i s t e n c a r e f u l l y . We h a v e y o u r f u l l c o n t a c t list. E v e r y o n e w i l l know your secrets. S e n d $ 1 5 0 0 i m m e d i a t e l y if y o u w a n t t h i s t o g o away.,sextortion
170,T i m e â€™ s r u n n i n g o u t . Y o u r files and v i d e o s have b e e n d o w n l o a d e d . T h i s is y o u r only c h a n c e t o s t o p it. Pay $ 9 0 0 o r face the c o n s e q u e n c e s .,sextortion
253,Reactivate your email account to keep receiving messages.,not_sextortion
55,"You know what you did. We have all your private moments saved. If you donâ€™t pay, weâ€™ll release the video. Youâ€™ll find our wallet address below. Transfer $1300. ðŸ˜ˆ",sextortion
70,"You made a huge mistake. Your files and videos have been downloaded. If you donâ€™t pay, weâ€™ll release the video. Transfer $1000 in BTC now.",sextortion
217,Urgent: Pay your toll online to avoid extra fees.,not_sextortion
281,Don't forget to submit your time sheet today.,not_sextortion
161,Your time is up. We recorded you through your camera. You will lose everything. $1400 in BTC is the only way out. ðŸ˜ˆ,sextortion
331,Urgent: Pay your toll online to avoid extra fees.,not_sextortion
135,Your time is up. We have all your private moments saved. The footage goes live in 24 hours. Youâ€™ll find our wallet address below. Transfer $1300.,sextortion
84,Weâ€™ve been watching you for a while. We accessed your social media accounts. Everyone will know your secrets. Transfer $1000 in BTC now. ðŸ“¸,sextortion
178,T h e r e â€™ s no t u r n i n g b a c k now. W e have a l l y o u r private m o m e n t s s a v e d . T h i s i s y o u r o n l y c h a n c e to s t o p it. T r a n s f e r $ 1 0 0 0 i n BTC now.,sextortion
195,Your time i s u p . We h a v e y o u r f u l l c o n t a c t list. E v e r y o n e w i l l k n o w your secrets. Send $ 1 5 0 0 i m m e d i a t e l y i f y o u w a n t t h i s t o g o a w a y .,sextortion
304,Reactivate your email account to keep receiving messages.,not_sextortion
7,Y o u made a h u g e mistake. Y o u r s c r e e n w a s being m o n i t o r e d . This i s y o u r o n l y c h a n c e t o s t o p i t . T r a n s f e r $ 1 0 0 0 i n B T C n o w .,sextortion
151,Your time is up. We recorded you through your camera. Everyone will know your secrets. Use this wallet address to send $850 now. ðŸ’€,sextortion
15,You made a huge mistake. We have all your private moments saved. This is your only chance to stop it. Do not reply. Just pay $1100. ðŸ¤«,sextortion
155,You know what you did. Your screen was being monitored. Donâ€™t test us. Use this wallet address to send $850 now. ðŸ˜³,sextortion
334,Don't forget to submit your time sheet today.,not_sextortion
290,Your subscription will renew automatically next month.,not_sextortion
121,T h e r e â€™ s n o turning b a c k n o w . We t o o k over your camera while y o u w e r e o n l i n e . T h e footage goes l i v e i n 24 h o u r s . Send $ 1 5 0 0 i m m e d i a t e l y if y o u w a n t this t o g o a w a y .,sextortion
374,You have a pending lawsuit. Click to learn more.,not_sextortion
8,Listen c a r e f u l l y . We h a v e your full c o n t a c t list. T h i s is y o u r o n l y c h a n c e to s t o p i t . Send $ 1 5 0 0 i m m e d i a t e l y if you w a n t t h i s to g o a w a y .,sextortion
83,Thereâ€™s no turning back now. We hacked all your devices. We will make you a public example. Follow these instructions and send $1000 in Bitcoin. ðŸ¤«,sextortion
133,Y o u k n o w what y o u did. We've c l o n e d y o u r phone. Y o u r f a m i l y a n d f r i e n d s will get e v e r y t h i n g . Do n o t r e p l y . J u s t p a y $ 1 1 0 0 .,sextortion
269,Update your bank credentials to avoid account lockout.,not_sextortion
345,Reminder: Your dental appointment is scheduled for 3 PM tomorrow.,not_sextortion
152,Y o u made a h u g e mistake. W e have a l l y o u r private moments s a v e d . Everyone will k n o w your s e c r e t s . T r a n s f e r $ 1 0 0 0 i n BTC n o w .,sextortion
243,Reset your Netflix password to continue streaming.,not_sextortion
165,Thereâ€™s n o turning back n o w . Y o u r f i l e s and v i d e o s h a v e b e e n d o w n l o a d e d . Y o u r f a m i l y a n d f r i e n d s w i l l g e t e v e r y t h i n g . Y o u h a v e 2 4 h o u r s t o p a y $ 1 2 0 0 i n c r y p t o .,sextortion
347,Happy birthday! Hope you have an amazing day.,not_sextortion
215,Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
126,T i m e â€™ s running o u t . Your files and v i d e o s h a v e b e e n downloaded. T h e f o o t a g e g o e s l i v e in 2 4 h o u r s . F o l l o w these i n s t r u c t i o n s a n d s e n d $ 1 0 0 0 in B i t c o i n .,sextortion
10,You know what you did. We have your full contact list. You will lose everything. $1400 in BTC is the only way out.,sextortion
108,We caught everything. We hacked all your devices. This is your only chance to stop it. Follow these instructions and send $1000 in Bitcoin.,sextortion
379,Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
182,Don't ignore this message. We took over your camera while you were online. Your family and friends will get everything. Send $1500 immediately if you want this to go away. ðŸ’€,sextortion
78,W e c a u g h t everything. W e hacked all your d e v i c e s . This data w i l l b e sold on the d a r k w e b . S e n d $1500 immediately i f y o u w a n t this to g o a w a y .,sextortion
65,"Y o u know what y o u d i d . Y o u r f i l e s and v i d e o s h a v e been d o w n l o a d e d . If you d o n â€™ t p a y , weâ€™ll r e l e a s e t h e v i d e o . Send $ 1 5 0 0 i m m e d i a t e l y i f you want t h i s to g o a w a y .",sextortion
142,W e caught e v e r y t h i n g . We h a c k e d all your d e v i c e s . W e w i l l m a k e you a p u b l i c e x a m p l e . $ 1 4 0 0 i n BTC i s the o n l y w a y o u t .,sextortion
173,You made a huge mistake. We hacked all your devices. This is your only chance to stop it. Youâ€™ll find our wallet address below. Transfer $1300.,sextortion
56,We caught everything. We have all your private moments saved. Donâ€™t test us. Send $1500 immediately if you want this to go away. ðŸ¤«,sextortion
57,Your time is up. We recorded you through your camera. This is your only chance to stop it. Transfer $1000 in BTC now. ðŸ˜³,sextortion
310,Your subscription will renew automatically next month.,not_sextortion
394,Urgent: Pay your toll online to avoid extra fees.,not_sextortion
356,You have a pending lawsuit. Click to learn more.,not_sextortion
36,Don't i g n o r e t h i s message. We h a v e y o u r full c o n t a c t l i s t . T h e f o o t a g e g o e s l i v e in 24 hours. D o not reply. J u s t pay $ 1 1 0 0 .,sextortion
305,FINAL NOTICE: Your email will be deactivated in 24 hours.,not_sextortion
231,Reactivate your email account to keep receiving messages.,not_sextortion
202,Special offer just for youâ€”act fast before it expires.,not_sextortion
342,Unusual activity detected! Click here to verify: http://security-check.com,not_sextortion
395,Letâ€™s grab lunch next week and catch up.,not_sextortion
183,We caught everything. We accessed your social media accounts. This is your only chance to stop it. You have 24 hours to pay $1200 in crypto.,sextortion
373,Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
176,Weâ€™ve been watching you for a while. We have your full contact list. This will ruin your reputation. Pay $900 or face the consequences.,sextortion
79,Your t i m e i s u p . W e r e c o r d e d y o u t h r o u g h y o u r camera. T h e f o o t a g e goes l i v e in 24 hours. D o n o t reply. J u s t pay $ 1 1 0 0 .,sextortion
233,Download our app to track who's been viewing your profile.,not_sextortion
47,We caught everything. We took over your camera while you were online. The footage goes live in 24 hours. Follow these instructions and send $1000 in Bitcoin. ðŸ¤«,sextortion
203,Unusual activity detected! Click here to verify: http://security-check.com,not_sextortion
381,Happy birthday! Hope you have an amazing day.,not_sextortion
207,Reactivate your email account to keep receiving messages.,not_sextortion
100,Timeâ€™s running out. We recorded you through your camera. We will make you a public example. You have 24 hours to pay $1200 in crypto.,sextortion
256,Your package is stuck in customs. Pay the fee to release it.,not_sextortion
115,Your time is up. We hacked all your devices. You will lose everything. Send $750 in Bitcoin to the address below. ðŸ”’,sextortion
184,Don't ignore this message. Your files and videos have been downloaded. Your family and friends will get everything. Follow these instructions and send $1000 in Bitcoin. ðŸš¨,sextortion
51,W e caught everything. W e h a c k e d all y o u r d e v i c e s . T h i s i s y o u r only c h a n c e t o stop i t . $ 1 4 0 0 in BTC i s t h e only way out.,sextortion
160,Listen carefully. We intercepted your private messages. This will ruin your reputation. Send $1500 immediately if you want this to go away.,sextortion
273,Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
211,Letâ€™s grab lunch next week and catch up.,not_sextortion
230,Don't forget to submit your time sheet today.,not_sextortion
359,Verify your identity to restore full account access.,not_sextortion
33,You know what you did. We have your full contact list. This data will be sold on the dark web. Transfer $1000 in BTC now. ðŸ˜³,sextortion
343,Happy birthday! Hope you have an amazing day.,not_sextortion
19,W e â€™ v e b e e n w a t c h i n g y o u f o r a w h i l e . We have y o u r f u l l c o n t a c t l i s t . W e w i l l m a k e y o u a public e x a m p l e . Follow t h e s e instructions and s e n d $1000 in B i t c o i n .,sextortion
332,New login detected from an unknown device. Was this you?,not_sextortion
92,Your time is up. We recorded you through your camera. This is your only chance to stop it. Follow these instructions and send $1000 in Bitcoin.,sextortion
99,Your time is up. We hacked all your devices. Donâ€™t test us. Use this wallet address to send $850 now.,sextortion
294,Get 50% off all items during our summer sale!,not_sextortion
309,Update billing information to avoid service disruption.,not_sextortion
130,"Your t i m e i s up. We have y o u r f u l l c o n t a c t l i s t . I f y o u d o n â€™ t pay, w e â€™ l l r e l e a s e t h e v i d e o . S e n d $750 i n B i t c o i n to t h e a d d r e s s below.",sextortion
116,You made a huge mistake. We intercepted your private messages. This data will be sold on the dark web. Transfer $1000 in BTC now.,sextortion
393,Get 50% off all items during our summer sale!,not_sextortion
179,W e caught e v e r y t h i n g . Y o u r s c r e e n w a s b e i n g m o n i t o r e d . Y o u w i l l l o s e e v e r y t h i n g . Y o u have 2 4 hours t o p a y $ 1 2 0 0 i n c r y p t o .,sextortion
297,Click this link to receive your inheritance from a Nigerian prince.,not_sextortion
400,New login detected from an unknown device. Was this you?,not_sextortion
41,You know what you did. We hacked all your devices. Your family and friends will get everything. Follow these instructions and send $1000 in Bitcoin.,sextortion
295,Your tax refund is ready. Submit your bank info to receive payment.,not_sextortion
158,Your time is up. We have your full contact list. This is your only chance to stop it. Transfer $1000 in BTC now. ðŸš¨,sextortion
346,Verify your identity to restore full account access.,not_sextortion
21,Don't i g n o r e this m e s s a g e . W e accessed your s o c i a l m e d i a a c c o u n t s . Y o u w i l l l o s e e v e r y t h i n g . Y o u â€™ l l find o u r w a l l e t a d d r e s s b e l o w . T r a n s f e r $ 1 3 0 0 .,sextortion
327,Congratulations! You've been selected for a free vacation to the Bahamas.,not_sextortion
190,Weâ€™ve been watching you for a while. We took over your camera while you were online. You will lose everything. Send $750 in Bitcoin to the address below.,sextortion
89,Weâ€™ve been watching you for a while. Your screen was being monitored. This will ruin your reputation. Youâ€™ll find our wallet address below. Transfer $1300.,sextortion
238,Can we reschedule our meeting to Friday morning?,not_sextortion
316,Don't forget to submit your time sheet today.,not_sextortion
340,Can we reschedule our meeting to Friday morning?,not_sextortion
199,You made a huge mistake. We recorded you through your camera. You will lose everything. Send $1500 immediately if you want this to go away.,sextortion
4,Don't ignore this message. We've cloned your phone. We will make you a public example. Transfer $1000 in BTC now. ðŸ’€,sextortion
143,W e c a u g h t e v e r y t h i n g . W e h a v e y o u r f u l l contact list. You w i l l l o s e e v e r y t h i n g . F o l l o w t h e s e instructions a n d s e n d $1000 i n B i t c o i n .,sextortion
111,Y o u r t i m e is u p . We i n t e r c e p t e d your p r i v a t e messages. D o n â€™ t t e s t us. D o not r e p l y . J u s t p a y $1100.,sextortion
164,We caught everything. We have all your private moments saved. You will lose everything. Send $750 in Bitcoin to the address below.,sextortion
105,Y o u r t i m e i s up. We h a c k e d a l l y o u r d e v i c e s . This i s your o n l y c h a n c e t o stop it. P a y $ 9 0 0 o r f a c e t h e c o n s e q u e n c e s .,sextortion
274,Update billing information to avoid service disruption.,not_sextortion
330,Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
9,Don't ignore this message. We hacked all your devices. The footage goes live in 24 hours. $1400 in BTC is the only way out.,sextortion
104,T i m e â€™ s r u n n i n g o u t . We have y o u r f u l l c o n t a c t l i s t . T h i s i s y o u r only c h a n c e t o s t o p i t . D o not r e p l y . J u s t p a y $1100.,sextortion
240,Your Amazon package has shipped and will arrive on Tuesday.,not_sextortion
234,Happy birthday! Hope you have an amazing day.,not_sextortion
117,You made a huge mistake. Your files and videos have been downloaded. This data will be sold on the dark web. Do not reply. Just pay $1100.,sextortion
